input,time,language,algorithm
33000,795121,C,insertion_iterative
33000,785760,C,insertion_iterative
33000,786785,C,insertion_iterative
33000,783531,C,insertion_iterative
33000,787223,C,insertion_iterative
33000,777795,C,insertion_iterative
33000,775539,C,insertion_iterative
33000,789919,C,insertion_iterative
34000,821457,C,insertion_iterative
34000,820762,C,insertion_iterative
34000,839454,C,insertion_iterative
34000,846105,C,insertion_iterative
34000,844723,C,insertion_iterative
34000,855889,C,insertion_iterative
34000,853464,C,insertion_iterative
34000,850098,C,insertion_iterative
34000,858375,C,insertion_iterative
34000,839814,C,insertion_iterative
35000,870031,C,insertion_iterative
35000,905631,C,insertion_iterative
35000,906534,C,insertion_iterative
35000,898467,C,insertion_iterative
35000,900892,C,insertion_iterative
35000,911222,C,insertion_iterative
35000,914538,C,insertion_iterative
35000,888185,C,insertion_iterative
35000,884449,C,insertion_iterative
35000,871242,C,insertion_iterative
36000,945515,C,insertion_iterative
36000,924003,C,insertion_iterative
36000,931473,C,insertion_iterative
36000,927408,C,insertion_iterative
36000,962407,C,insertion_iterative
36000,1055973,C,insertion_iterative
36000,970091,C,insertion_iterative
36000,947489,C,insertion_iterative
36000,936744,C,insertion_iterative
36000,1013291,C,insertion_iterative
37000,980744,C,insertion_iterative
37000,982382,C,insertion_iterative
37000,981059,C,insertion_iterative
